，	261294
。	257790
不	30945
人	27118
一	22936
山	21517
无	19189
日	18626
 	18616
风	17355
中	16887
有	15803
云	15698
上	15175
天	14493
春	14049
来	13931
何	13288
月	13138
花	13112
时	13080
水	12832
三	12687
十	12498
相	12313
二	12102
为	11689
生	11362
长	11138
自	11040
年	11018
归	10837
君	10817
行	10778
江	10662
首	10641
心	10591
秋	10476
见	10240
如	10009
知	10007
白	9984
夜	9684
此	9499
南	9212
得	9171
下	9108
清	8669
明	8613
去	8562
空	8529
歌	8490
在	8483
子	8444
高	8440
诗	8304
门	8188
道	8052
是	7957
里	7932
金	7860
事	7792
未	7777
处	7631
客	7446
多	7310
青	7270
东	7198
寒	7093
家	7080
别	7023
雨	7022
五	7006
出	6982
送	6971
玉	6900
千	6872
前	6864
声	6845
今	6819
落	6801
城	6773
入	6714
朝	6658
与	6649
远	6630
游	6614
新	6591
万	6537
书	6504
西	6500
望	6484
路	6483
作	6473
我	6324
思	6244
同	6212
阳	6208
四	6172
草	6157
飞	6155
将	6083
开	6060
应	6050
马	6044
流	6023
还	6014
寄	6002
尽	5991
深	5979
成	5931
和	5929
地	5862
酒	5862
树	5858
烟	5757
石	5736
闻	5648
色	5587
欲	5560
已	5555
回	5537
之	5518
重	5510
可	5505
闲	5486
公	5458
古	5446
王	5438
独	5436
光	5406
谁	5359
从	5338
身	5260
更	5222
后	5215
雪	5162
林	5138
海	5107
向	5083
看	4997
大	4977
州	4955
方	4911
香	4907
情	4886
楼	4872
题	4856
头	4817
老	4808
龙	4804
九	4799
言	4760
满	4738
难	4704
旧	4687
愁	4682
曲	4662
过	4644
百	4620
衣	4617
名	4576
莫	4552
黄	4540
红	4531
外	4479
平	4476
能	4447
尘	4445
复	4435
仙	4427
宫	4420
乐	4392
分	4390
似	4317
居	4257
当	4229
台	4229
安	4203
气	4160
北	4137
华	4117
到	4115
犹	4037
间	4024
亦	4022
故	4010
辞	3997
鸟	3991
松	3985
初	3980
然	3962
叶	3945
起	3934
离	3922
非	3918
少	3901
意	3873
因	3837
怀	3831
竹	3828
晚	3806
文	3799
发	3790
边	3765
六	3747
神	3723
几	3712
柳	3706
所	3678
国	3672
梦	3654
吟	3643
世	3598
若	3586
随	3520
赠	3508
池	3502
暮	3497
余	3495
留	3492
枝	3490
河	3476
汉	3445
泉	3431
醉	3421
阴	3417
须	3390
寺	3382
野	3362
小	3345
临	3342
坐	3321
终	3314
孤	3308
逢	3299
以	3285
八	3272
使	3265
关	3241
露	3221
）	3209
微	3208
岁	3188
登	3180
好	3174
经	3166
幽	3165
问	3153
李	3132
者	3128
溪	3113
士	3105
碧	3097
波	3094
太	3026
乡	3009
霜	3004
连	3001
真	2997
轻	2993
半	2978
至	2960
绿	2959
先	2957
对	2933
宿	2929
寻	2923
庭	2916
芳	2911
两	2902
第	2871
七	2857
影	2850
忆	2850
常	2843
早	2836
共	2834
正	2820
吹	2819
官	2815
近	2813
才	2798
期	2794
照	2763
却	2745
断	2744
岂	2743
陵	2737
翠	2732
物	2716
双	2712
本	2711
亭	2698
句	2698
惊	2695
晓	2689
郎	2686
苦	2677
绝	2673
主	2669
舟	2666
动	2663
峰	2653
曾	2646
沙	2644
语	2641
遥	2640
其	2638
鹤	2628
于	2618
星	2613
僧	2613
灵	2605
木	2588
残	2583
又	2572
丹	2570
师	2565
夕	2547
静	2545
合	2544
虚	2529
垂	2520
紫	2496
女	2492
兴	2484
兵	2483
楚	2476
通	2465
传	2456
病	2456
园	2454
悲	2451
浮	2449
堂	2443
依	2426
笑	2415
川	2411
鸣	2409
章	2403
恩	2398
军	2395
鱼	2382
景	2380
（	2376
听	2375
凤	2362
词	2359
湖	2353
忽	2348
元	2346
久	2339
数	2330
奉	2306
帝	2292
会	2280
田	2269
夫	2261
尚	2259
咏	2259
转	2256
唯	2256
怜	2239
苍	2239
圣	2237
车	2235
皇	2232
死	2217
舞	2206
泪	2204
寂	2202
爱	2201
且	2199
萧	2189
散	2184
张	2177
即	2160
堪	2154
秦	2152
火	2145
京	2133
皆	2129
隐	2124
觉	2124
府	2109
吾	2103
令	2102
侍	2100
杨	2096
节	2094
洞	2090
兮	2086
往	2082
罗	2081
阁	2071
昔	2069
直	2064
感	2057
亲	2039
穷	2034
始	2027
沈	2022
珠	2017
恨	2010
手	2006
度	1998
学	1995
乱	1983
霞	1973
足	1969
谢	1966
功	1963
信	1946
儿	1942
吴	1940
观	1938
识	1935
容	1929
兰	1925
休	1925
用	1921
御	1918
德	1916
桃	1916
画	1910
暗	1909
胜	1909
凉	1900
杂	1898
步	1897
待	1892
伤	1891
喜	1887
征	1883
群	1877
悠	1877
带	1869
□	1867
琴	1864
移	1862
虽	1849
晴	1841
燕	1836
迟	1823
命	1801
贤	1791
定	1789
解	1784
塞	1779
窗	1776
食	1776
立	1768
横	1761
口	1761
逐	1758
玄	1752
洛	1750
隔	1748
徒	1748
疎	1743
含	1740
胡	1738
镜	1735
诸	1732
都	1731
卧	1731
说	1729
疑	1726
武	1723
愿	1712
结	1697
岸	1697
斜	1695
便	1694
求	1694
浪	1693
化	1691
只	1691
颜	1686
及	1683
眼	1679
